,Cities,Country,Max_Temp,Latitude,Longitude,Humidity_(%),Cloudiness_(%),Wind_Speed_(mph)
0,Hambantota,LK,305.15,6.12,81.12,79,40,5.7
1,Meadow Lake,CA,272.068,54.13,-108.44,95,31,2.03
2,Neosho,US,280.15,43.31,-88.52,65,90,4.6
3,Amahai,ID,301.168,-3.31,129,75,100,4.83
4,Manbij,SY,295.37,36.53,37.96,53,40,1.5
5,Mugur-Aksy,RU,276.568,50.38,90.44,58,24,2.72
6,Aswan,EG,313.068,24.09,32.9,5,60,7.25
7,Leningradskiy,RU,266.368,69.38,178.42,87,39,1.44
8,Mataura,NZ,282.04,-46.19,168.86,95,100,0.69
9,Vaini,IN,308.15,15.34,74.49,36,40,3.1
10,Puerto Ayora,EC,298.468,-0.74,-90.35,90,40,2.74
11,Pathein,MM,304.868,16.78,94.73,67,30,4.73
12,Yeroham,IL,295.93,30.99,34.93,53,40,0.45
13,Albany,US,286.15,42.65,-73.75,71,75,4.6
14,Busselton,AU,290.37,-33.64,115.35,55,96,5.39
15,New Norfolk,AU,283.15,-42.78,147.06,87,75,2.6
16,Tiksi,RU,271.868,71.64,128.87,88,90,2.97
17,Sinnamary,GF,299.668,5.38,-52.96,84,100,4.99
18,Saint-Philippe,CA,287.15,45.36,-73.48,82,90,5.7
19,Hobart,AU,283.15,-42.88,147.33,87,75,2.6
20,Punta Arenas,CL,283.15,-53.16,-70.91,53,20,12.3
21,Rikitea,PF,298.268,-23.12,-134.97,81,9,8.15
22,Narsaq,GL,278.15,60.91,-46.05,67,20,1
23,Kurtamysh,RU,301.068,54.91,64.43,19,70,6.6
24,Nanortalik,GL,277.168,60.14,-45.24,82,0,2.95
25,Karratha,AU,307.568,-20.74,116.85,19,0,5.91
26,Severnyy-Kospashskiy,RU,300.37,59.09,57.8,2,36,2.24
27,East London,ZA,295.15,-33.02,27.91,83,0,3.6
28,Cabo San Lucas,MX,293.15,22.89,-109.91,35,0,1.79
29,Sur,OM,311.668,22.57,59.53,13,0,2.71
30,Yellowknife,CA,271.15,62.45,-114.38,74,5,3.1
31,Vila Franca do Campo,PT,289.15,37.72,-25.43,93,75,5.7
32,Lompoc,US,287.15,34.64,-120.46,71,90,1.5
33,Sao Filipe,CV,296.068,14.9,-24.5,82,6,10.2
34,Yertsevo,RU,292.368,60.8,40.09,59,78,4.03
35,Khasan,RU,286.968,42.43,130.64,42,99,2.92
36,Cape Town,ZA,295.37,-33.93,18.42,72,75,1
37,Denpasar,ID,302.15,-8.65,115.22,79,20,5.7
38,Talnakh,RU,271.15,69.49,88.39,92,75,7
39,Khatanga,RU,266.868,71.98,102.47,84,100,2
40,Bluff,AU,293.168,-23.58,149.07,35,0,2.62
41,Arraial do Cabo,BR,299.15,-22.97,-42.02,83,40,4.6
42,Kondopoga,RU,279.15,62.21,34.27,100,90,2
43,Georgetown,GY,296.15,6.8,-58.16,100,90,3.1
44,Cherskiy,RU,273.868,68.75,161.3,88,92,3.55
45,Tazovskiy,RU,273.268,67.47,78.7,83,57,7.48
46,Hermanus,ZA,295.37,-34.42,19.24,65,99,2.36
47,Canto do Buriti,BR,292.068,-8.11,-42.94,70,9,1.28
48,Ushuaia,AR,283.15,-54.81,-68.31,57,40,2.6
49,Mareeba,AU,296.15,-16.99,145.42,73,40,4.6
50,Thompson,CA,266.15,55.74,-97.86,92,20,1
51,San Patricio,PY,293.468,-26.98,-56.83,98,2,1.38
52,Ambunti,PG,298.468,-4.22,142.82,95,74,2.08
53,Bredasdorp,ZA,294.15,-34.53,20.04,49,20,5.1
54,Port Alfred,ZA,292.59,-33.59,26.89,85,100,0.89
55,Victoria,BN,305.15,5.28,115.24,70,75,2.1
56,Port Blair,IN,303.368,11.67,92.75,77,78,7.95
57,Ribeira Grande,PT,290.15,38.52,-28.7,67,40,5.1
58,Linjiang,CN,288.768,41.81,126.91,32,0,4.69
59,Killybegs,IE,284.26,54.63,-8.45,66,0,3.6
60,Jamestown,AU,286.468,-33.21,138.6,59,12,6.11
61,Provideniya,RU,269.268,64.42,-173.23,83,99,5.38
62,Puerto Carreno,CO,298.468,6.19,-67.49,88,100,1.64
63,Saskylakh,RU,269.468,71.97,114.09,91,99,3.61
64,Flinders,AU,289.82,-34.58,150.85,48,0,7.7
65,Beringovskiy,RU,269.268,63.05,179.32,92,98,3.63
66,Lavrentiya,RU,263.568,65.58,-170.99,97,90,2.85
67,Havoysund,NO,279.15,71,24.66,48,0,4.6
68,Avera,US,294.15,33.19,-82.53,100,90,1.5
69,Yeppoon,AU,294.15,-23.13,150.74,77,2,2.6
70,Tomatlan,MX,295.768,19.93,-105.25,69,0,2.64
71,Paso de los Toros,UY,280.968,-32.81,-56.52,90,0,3.66
72,Tasiilaq,GL,273.15,65.61,-37.64,74,67,1
73,Ambon,FR,287.04,47.55,-2.56,54,0,4.6
74,Rauma,FI,283.15,61.13,21.5,57,100,5.7
75,Lumeje,AO,299.468,-11.56,20.78,55,48,3.75
76,Mokhsogollokh,RU,279.468,61.4,128.95,60,99,1.83
77,Kodiak,US,287.59,39.95,-94.76,93,90,2.6
78,Dikson,RU,266.668,73.51,80.55,86,86,4.93
79,Egvekinot,RU,265.868,66.32,-179.17,95,88,6.02
80,San Quintin,PH,301.868,17.54,120.52,72,100,2.21
81,Daru,SL,300.768,7.99,-10.85,82,65,1
82,Mahebourg,MU,302.15,-20.41,57.7,70,75,3.1
83,Lasa,CY,295.15,34.92,32.53,53,40,4.1
84,Kralendijk,BQ,300.15,12.15,-68.27,78,88,7.7
85,Alofi,NU,296.15,-19.06,-169.92,78,23,3.6
86,Lebu,ET,297.15,8.96,38.73,29,40,4.1
87,Upernavik,GL,273.068,72.79,-56.15,91,100,2.21
88,Souillac,FR,290.93,45.6,-0.6,45,75,2.6
89,Anadyr,RU,270.15,64.73,177.51,79,40,5
90,Muros,ES,289.26,42.77,-9.06,82,75,7.2
91,Roald,NO,278.15,62.58,6.12,80,40,4.1
92,Qaanaaq,GL,272.968,77.48,-69.36,85,99,2.27
93,Kruisfontein,ZA,290.968,-34,24.73,82,100,2.36
94,Avarua,CK,296.15,-21.21,-159.78,88,0,0.5
95,Kattivakkam,IN,311.15,13.22,80.32,53,81,6.7
96,Ilulissat,GL,277.15,69.22,-51.1,69,20,1.5
97,Bilma,NE,311.268,18.69,12.92,5,1,1.57
98,Rezekne,LV,282.168,56.5,27.32,68,100,4.03
99,Rocha,UY,282.068,-34.48,-54.34,85,0,1.6
100,Hovd,NO,279.82,63.83,10.7,59,75,8.2
101,Caucaia,BR,299.15,-3.73,-38.66,78,40,3.6
102,Ouesso,CG,301.468,1.61,16.05,68,100,1.91
103,Atuona,PF,301.568,-9.8,-139.03,77,88,8.68
104,Sawtell,AU,290.15,-30.38,153.1,87,0,2.1
105,Longyearbyen,NO,271.15,78.22,15.63,58,20,1.5
106,Shingu,JP,290.15,33.72,135.99,27,20,7.2
107,Buala,SB,301.268,-8.15,159.59,75,63,2.56
108,Antofagasta,CL,289.15,-23.65,-70.4,82,75,0.5
109,Deputatskiy,RU,270.268,69.3,139.9,93,88,1.39
110,Marawi,PH,302.04,8,124.29,82,74,3.13
111,La Ronge,CA,274.15,55.1,-105.3,80,90,1
112,Bethel,US,280.15,60.79,-161.76,81,90,3.1
113,Jalu,LY,299.268,29.03,21.55,26,0,6.37
114,Sao Joao da Barra,BR,296.15,-21.64,-41.05,88,20,1.5
115,Port Hedland,AU,301.15,-20.31,118.58,51,0,3.6
116,Padang,ID,304.15,-0.92,100.36,70,20,2.6
117,Kapaa,US,294.15,22.08,-159.32,82,20,3.1
118,Severo-Kurilsk,RU,276.768,50.68,156.12,83,43,6.18
119,Qasigiannguit,GL,277.15,68.82,-51.19,69,20,1.5
120,Beloha,MG,300.868,-25.17,45.06,51,67,6.25
121,Bumba,CD,305.368,2.18,22.47,52,100,2.17
122,Constantine,DZ,292.15,36.36,6.61,55,0,1.5
123,Sharjah,AE,312.15,25.36,55.39,23,5,5.1
124,Markdorf,DE,287.04,47.72,9.39,57,0,1.5
125,Blythe,US,293.15,33.61,-114.59,45,1,5.1
126,Marsh Harbour,BS,298.368,26.54,-77.06,87,4,3.84
127,Norman Wells,CA,274.15,65.28,-126.83,59,75,1.5
128,Antalaha,MG,299.568,-14.9,50.28,67,56,2.29
129,Cockburn Town,TC,299.168,21.46,-71.14,82,4,7.73
130,Flin Flon,CA,274.168,54.77,-101.88,59,100,2.72
131,Sokode,TG,304.268,8.98,1.13,57,86,3.11
132,Hithadhoo,MV,302.968,-0.6,73.08,70,74,3.49
133,Lucea,JM,299.15,18.44,-78.17,78,20,2.1
134,Moussoro,TD,314.168,13.64,16.49,3,68,2.81
135,Lorengau,PG,299.168,-2.02,147.27,89,100,1.84
136,Los Lunas,US,289.26,34.81,-106.76,20,1,1.12
137,Airai,TL,300.168,-8.93,125.41,71,90,2.26
138,Dingle,PH,305.568,11,122.67,48,100,3.35
139,Carutapera,BR,297.568,-1.2,-46.02,93,70,1.38
140,Karangasem,ID,304.468,-6.7,108.49,62,2,3.48
141,Port-Gentil,GA,302.15,-0.72,8.78,83,40,2.1
142,Te Anau,NZ,281.568,-45.41,167.72,91,93,1.02
143,Mar del Plata,AR,281.468,-46.43,-67.52,64,0,4.6
144,Kahului,US,294.15,20.89,-156.47,68,1,2.6
145,Ballina,IE,284.82,54.11,-9.15,70,90,2.6
146,Sarakhs,TM,306.068,36.54,61.16,11,0,2.69
147,Berdigestyakh,RU,277.368,62.1,126.7,76,87,2.6
148,Gamba,CN,284.468,28.28,88.52,10,0,9.19
149,Butaritari,KI,301.768,3.07,172.79,73,100,1.89
150,Majene,ID,302.668,-3.54,118.97,72,0,4.21
151,Hilo,US,294.15,19.71,-155.08,73,90,2.1
152,Parana,BR,295.368,-7.52,-72.89,92,37,0.14
153,Conselheiro Lafaiete,BR,287.15,-20.66,-43.79,93,0,0.5
154,Clyde River,CA,263.15,70.47,-68.59,100,1,1
155,Torbay,CA,277.04,47.66,-52.73,86,90,5.7
156,Nikolskoye,RU,280.37,59.7,30.79,87,90,5
157,Dunedin,NZ,285.37,-45.87,170.5,88,83,5.36
158,Kulhudhuffushi,MV,302.668,6.62,73.07,62,65,3.58
159,Galle,US,294.82,29.74,-97.91,94,90,1.5
160,Yar-Sale,RU,274.268,66.83,70.83,69,0,6.97
161,San-Pedro,CI,301.368,4.75,-6.64,80,35,1.73
162,Kieta,PG,302.468,-6.22,155.63,71,100,3.15
163,Vila Velha,BR,299.15,-3.71,-38.6,78,40,3.6
164,San Cristobal,EC,285.15,-0.39,-78.55,93,90,0.5
165,Aloleng,PH,302.968,16.13,119.78,78,100,6.26
166,Lengshuijiang,CN,285.968,27.66,111.45,88,92,2.33
167,Summerland,CA,285.15,49.6,-119.67,58,40,3.6
168,Lubu,CN,295.668,23.17,112.28,80,99,2.05
169,Taoudenni,ML,306.768,22.68,-3.98,7,0,7.64
170,Tuktoyaktuk,CA,270.468,69.44,-133.03,94,100,4.93
171,Ishinomaki,JP,287.15,38.42,141.3,35,20,5.1
172,Mogadishu,SO,306.15,2.04,45.34,66,40,5.1
173,Los Llanos de Aridane,ES,294.15,28.66,-17.92,60,20,5.7
174,Vagur,FO,277.168,61.47,-6.81,62,96,6.76
175,Quatre Cocos,MU,302.15,-20.21,57.76,70,75,3.1
176,Tuatapere,NZ,282.04,-46.13,167.69,95,99,2.63
177,Pochutla,MX,291.768,15.74,-96.47,80,68,1.13
178,Zhigansk,RU,273.768,66.77,123.37,97,100,3.12
179,Hofn,IS,269.168,64.25,-15.21,86,97,0.29
180,Castro,CL,276.15,-42.48,-73.76,100,90,0.2
181,Vardo,US,286.15,39.62,-77.74,100,1,1.09
182,Saldanha,PT,285.568,41.42,-6.55,84,99,1.59
183,Abu Dhabi,AE,309.15,24.47,54.37,23,5,6.2
184,Nacozari,MX,289.82,25.34,-108.26,96,0,1.77
185,Chuy,UY,289.068,-33.69,-53.46,73,0,4.96
186,Puerto Baquerizo Moreno,EC,299.068,-0.9,-89.6,87,45,2.3
187,Maceio,BR,296.15,-9.67,-35.74,94,0,2.1
188,Alekseyevka,RU,293.15,53.25,50.49,64,40,7
189,Vieux Fort,LC,299.15,13.72,-60.95,78,40,8.7
190,Port Elizabeth,US,286.15,39.31,-74.98,93,0,2.1
191,Pringsewu,ID,302.968,-5.36,104.98,58,39,2.28
192,Jenks,US,293.15,36.02,-95.97,82,1,2.1
193,Menongue,AO,301.468,-14.66,17.68,26,0,3.41
194,Ostrovnoy,RU,275.368,68.05,39.51,70,5,1.79
195,Surt,LY,290.668,31.21,16.59,57,0,1.49
196,Esna,RO,284.15,45.2,27.57,81,90,1.5
197,Turayf,SA,300.15,31.68,38.65,28,75,3.6
198,Barrow,AR,279.668,-38.31,-60.23,80,0,2.86
199,Srednekolymsk,RU,274.968,67.46,153.71,93,87,3.6
200,Maracacume,BR,296.068,-2.04,-45.96,98,84,0.36
201,Richards Bay,ZA,299.268,-28.77,32.06,74,33,6.62
202,Saint-Joseph,FR,291.15,43.56,6.97,59,0,3.6
203,Gushikawa,JP,297.15,26.35,127.87,64,75,5.7
204,Copiapo,CL,286.15,-27.37,-70.33,93,98,2.6
205,Umm Lajj,SA,300.368,25.02,37.27,63,28,5.49
206,Lulea,SE,280.15,65.58,22.15,53,0,3.1
207,Kucove,AL,288.168,40.8,19.92,60,1,3
208,Yulara,AU,296.15,-25.24,130.99,33,0,4.1
209,Yarada,IN,309.15,17.65,83.27,63,20,5.1
210,Kavieng,PG,301.568,-2.57,150.8,78,100,2.82
211,Ternate,PH,302.15,14.29,120.72,79,90,7.2
212,Outlook,CA,277.04,51.48,-107.04,71,11,2.68
213,Bayan,MN,287.568,47.25,107.54,17,100,4.42
214,Campbell River,CA,284.15,50.02,-125.24,76,20,3.6
215,Halifax,CA,278.71,44.65,-63.58,80,20,1
216,Navoi,IT,288.71,46.17,11.83,76,40,2.1
217,Troitskoye,RU,297.768,52.98,84.68,25,0,2.42
218,Turukhansk,RU,274.468,65.8,87.96,99,100,5.07
219,Prainha,BR,295.868,-1.8,-53.48,98,100,1
220,Barcelona,ES,291.48,41.38,2.18,77,90,0.5
221,Rome,IT,290.37,41.89,12.48,44,0,2.1
222,Cidreira,BR,291.868,-30.17,-50.22,73,48,2.97
223,Mandalgovi,MN,288.168,45.76,106.27,23,100,4.84
224,San Bartolo,GT,283.71,15.08,-91.46,97,97,0.75
225,Broome,GB,287.04,52.47,1.45,76,20,1.5
226,Kangaatsiaq,GL,274.868,68.31,-53.46,82,15,3.82
227,Tomohon,ID,303.15,1.33,124.84,70,20,1.5
228,Fairbanks,US,275.15,64.84,-147.72,59,1,2.09
229,Nizhniy Kuranakh,RU,278.968,58.84,125.49,58,99,2.63
230,Ponta do Sol,BR,289.468,-20.63,-46,97,0,0.29
231,Elliot,ZA,297.668,-31.33,27.85,25,33,8.53
232,Sterling,US,288.71,39,-77.4,100,1,0.95
233,North Battleford,CA,275.93,52.78,-108.3,69,40,3.1
234,Wuning,CN,291.668,29.26,120.23,44,16,5.2
235,Klaksvik,FO,276.15,62.23,-6.59,64,92,6.2
236,Fortuna,ES,297.04,38.18,-1.13,64,20,1
237,Cliza,BO,285.15,-17.59,-65.93,81,40,2.1
238,Geraldton,CA,269.15,49.72,-86.95,73,20,1
239,Qaqortoq,GL,278.15,60.72,-46.03,67,20,1
240,Arlit,NE,313.468,18.74,7.39,8,0,4.61
241,Tongchuan,CN,285.15,34.9,108.95,93,90,4
242,Port Macquarie,AU,288.15,-31.43,152.91,72,0,1
243,Chapais,CA,271.15,49.78,-74.86,86,90,4.1
244,Aracati,BR,295.968,-4.56,-37.77,86,99,2.01
245,Gyorszemere,HU,286.48,47.55,17.56,50,0,8.2
246,Chapleau,CA,269.668,47.85,-83.4,76,6,1.51
247,Quelimane,MZ,300.068,-17.88,36.89,55,49,2.65
248,Touros,BR,297.15,-5.2,-35.46,94,75,2.6
249,Sciacca,IT,290.15,37.51,13.08,72,40,2.6
250,San Policarpo,PH,303.468,12.18,125.51,75,98,2.97
251,Iquitos,PE,296.15,-3.75,-73.25,100,0,0.5
252,Chokurdakh,RU,272.568,70.62,147.9,94,100,5.58
253,Hasaki,JP,285.15,35.73,140.83,71,75,1.5
254,College,US,275.15,64.86,-147.8,59,1,2.09
255,Saint-Pierre,FR,287.04,48.95,4.24,50,40,4.1
256,Samarai,PG,295.868,-10.62,150.67,96,11,1.63
257,Mahalapye,BW,297.068,-23.11,26.83,30,79,7.19
258,Icatu,BR,298.15,-2.77,-44.05,94,75,0.79
259,Lodwar,KE,307.168,3.12,35.6,33,87,2.66
260,Hualmay,PE,291.968,-11.1,-77.61,95,97,7.3
261,Bandar-e Lengeh,IR,304.15,26.56,54.88,66,0,3.1
262,Rapar,IN,313.268,23.57,70.65,11,0,6.72
263,Belmonte,PT,288.15,40.36,-7.35,87,95,3.13
264,Broken Hill,AU,292.15,-31.97,141.45,32,75,4.6
265,Bandarbeyla,SO,305.668,9.49,50.81,42,72,3.05
266,Guerrero Negro,MX,289.768,27.97,-114.04,86,1,3.35
267,Soe,EE,283.71,57.91,26.05,66,40,1.5
268,Ancud,CL,276.15,-41.87,-73.83,100,90,0.85
269,Faanui,PF,301.468,-16.48,-151.75,63,100,1.98
270,Nome,US,297.59,30.04,-94.42,88,1,2.22
271,Beisfjord,NO,280.93,68.38,17.6,52,20,8.2
272,Senanga,ZM,301.668,-16.1,23.3,33,14,4.26
273,Tianjin,CN,300.15,39.12,117.2,10,0,5
274,Walvis Bay,NA,290.15,-22.95,14.51,67,0,2.1
275,Leshukonskoye,RU,283.468,64.9,45.76,71,27,3.99
276,Galveston,US,285.93,40.58,-86.19,93,75,2.1
277,Kailua,US,296.15,21.39,-157.74,69,75,2.1
